skills,interests,education,career
python sql pandas data analysis,Data Science AI,B.Tech,Data Scientist
python machine learning statistics,AI Machine Learning,B.Tech,Machine Learning Engineer
python tensorflow deep learning,AI Deep Learning,B.Tech,AI Engineer
html css javascript,Web Development,B.Tech,Web Developer
java spring sql,Software Development,B.Tech,Software Developer
python django flask,Web Development Backend,B.Tech,Backend Developer
sql excel powerbi,Data Analytics,B.Tech,Data Analyst
python aws docker cloud,Cloud Computing,B.Tech,Cloud Engineer
networking linux security,Cyber Security,B.Tech,Cyber Security Analyst
java android firebase,Mobile Development,B.Tech,Android Developer
python nlp machine learning,Natural Language AI,B.Tech,NLP Engineer
python statistics visualization,Data Analytics,B.Tech,Data Analyst
